qType,kvType,Gqa,ps,qSeqLen,prefill,causal,lse,cprr,knl_name,co_name
bf16,bf16,8,0,2,0,0,0,0,_ZN5aiter33mla_a16w16_qh8_qseqlen2_gqaratio8E,mla_a16w16_qh8_qseqlen2_gqaratio8.co
bf16,bf16,8,0,2,0,1,0,0,_ZN5aiter40mla_a16w16_qh8_qseqlen2_gqaratio8_causalE,mla_a16w16_qh8_qseqlen2_gqaratio8_causal.co
fp8,fp8,8,0,1,0,0,0,0,_ZN5aiter34mla_a8w8_qh8_qseqlen1_gqaratio8_v3E,mla_a8w8_qh8_qseqlen1_gqaratio8_v3.co
fp8,fp8,8,1,4,0,0,0,0,_ZN5aiter35mla_a8w8_qh32_qseqlen4_gqaratio8_psE,mla_a8w8_qh32_qseqlen4_gqaratio8_ps.co
fp8,fp8,8,1,4,0,0,1,0,_ZN5aiter39mla_a8w8_qh32_qseqlen4_gqaratio8_lse_psE,mla_a8w8_qh32_qseqlen4_gqaratio8_lse_ps.co
bf16,bf16,32,1,4,0,0,0,0,_ZN5aiter38mla_a16w16_qh32_qseqlen4_gqaratio32_psE,mla_a16w16_qh32_qseqlen4_gqaratio32_ps.co
bf16,bf16,32,1,4,0,0,1,0,_ZN5aiter42mla_a16w16_qh32_qseqlen4_gqaratio32_lse_psE,mla_a16w16_qh32_qseqlen4_gqaratio32_lse_ps.co
bf16,bf16,32,1,4,0,0,0,1,_ZN5aiter43mla_a16w16_qh32_qseqlen4_gqaratio32_cprr_psE,mla_a16w16_qh32_qseqlen4_gqaratio32_cprr_ps.co
bf16,bf16,32,1,4,0,0,1,1,_ZN5aiter47mla_a16w16_qh32_qseqlen4_gqaratio32_lse_cprr_psE,mla_a16w16_qh32_qseqlen4_gqaratio32_lse_cprr_ps.co
bf16,bf16,64,1,1,0,0,0,0,_ZN5aiter41mla_a16w16_qh64_qseqlen1_gqaratio64_v3_psE,mla_a16w16_qh64_qseqlen1_gqaratio64_v3_ps.co
bf16,bf16,64,1,1,0,0,1,0,_ZN5aiter45mla_a16w16_qh64_qseqlen1_gqaratio64_lse_v3_psE,mla_a16w16_qh64_qseqlen1_gqaratio64_lse_v3_ps.co
bf16,bf16,64,1,1,0,0,0,1,_ZN5aiter46mla_a16w16_qh64_qseqlen1_gqaratio64_cprr_v3_psE,mla_a16w16_qh64_qseqlen1_gqaratio64_cprr_v3_ps.co
bf16,bf16,64,1,1,0,0,1,1,_ZN5aiter50mla_a16w16_qh64_qseqlen1_gqaratio64_lse_cprr_v3_psE,mla_a16w16_qh64_qseqlen1_gqaratio64_lse_cprr_v3_ps.co
