M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
8,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
8,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
16,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
16,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
16,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
16,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
32,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
64,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
64,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
64,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
64,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
64,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
128,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
128,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
256,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
256,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
256,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
256,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
256,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
512,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
512,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
512,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
512,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
512,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
512,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
1024,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
1024,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
1024,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
1024,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
1024,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
1024,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
